task,agent,seed,simple_regret,campaign_cash,cumulative_regret,churn,gain,backslide,wasted_fraction,wasted_rounds,committed_rounds,validity_rate,n_designs,n_valid,unit_days_used,parallel_utilisation,n_rejections
T1,literature_prior,19,0.022718365292811064,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T1,prior_anchored,0,0.01521026693644087,-112.16458679176056,412.7563822282612,0.0,0.06520860756037672,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,1,0.0015305840305249868,-47.717545978367966,315.608221503924,1.0,0.0,0.0010604383383796129,1.0,1,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,2,0.0006395763516883618,-48.048971489433654,275.86476634678735,0.0,0.07362047737239091,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,3,0.0005677644991422467,-158.93878594369127,266.8159219330996,0.0,0.062236162905779116,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,4,0.0010473177598294137,164.1294543429772,247.95516322636234,0.0,0.07773991088015257,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,5,0.00015911076110682043,-29.48742841190608,391.59515712546596,0.0,0.057262393912325384,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,6,0.013921917121030906,-89.21956729927916,295.25119354023207,0.0,0.038642075856399415,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,7,0.016056633902772025,-224.26747701138265,289.62825181775656,0.0,0.06107690457582858,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,8,0.006266685440027953,-203.60946893320843,316.89718000949824,0.0,0.06067072602979904,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,9,0.008341369574003478,-144.82225390227046,320.95937290183133,0.0,0.04161072864106411,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,10,0.028140560202877602,-112.81335790621378,299.06975482865676,0.0,0.044331895994771,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,11,0.01229596706766365,-29.517529064083238,244.7006614117035,0.0,0.03636878102804481,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,12,0.00010028936085136608,36.843461047726734,329.6734896552994,0.0,0.09796062543137977,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,13,0.011032721556479802,-124.06988267315347,278.8369482845859,0.0,0.05216026912940555,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,14,0.0005047263476220167,-173.00754410748144,225.22373301766814,0.0,0.0640065505987954,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,15,0.0012884250659191687,-168.0773237182749,311.64340359379423,0.0,0.08254526177861982,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,16,0.012241276141394359,-232.50637636717096,326.0003633147838,0.0,0.056466305218376436,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,17,0.0008109715428800263,-10.546008995803643,264.2936770198078,0.0,0.08430528220976564,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,18,0.0004605369399265091,-38.83257273242644,309.5446930385293,0.0,0.09590754939215948,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,prior_anchored,19,0.015624644255193096,-117.68680248277543,333.6840713872487,0.0,0.0005333913103488311,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,classical_doe,0,0.01658074432370446,164.2718403991422,129.8186223473081,0.0,0.03730271996417768,0.0,0.0,0,1,0.5,2,1,3360,1.0,0
T1,classical_doe,1,0.0012262218432768368,134.455306404242,128.14629165483515,0.0,0.06441301763032406,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,2,0.0004355819610720735,54.52008917019275,174.00366936959654,0.0,0.06078669840655062,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,3,0.00934754293403136,-23.85125065572001,142.80324571584353,0.0,0.04076232240533344,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,4,0.0005092385676814387,240.18262023904583,150.18530399913698,0.0,0.07046917812152943,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,5,0.00010587414250416705,207.63372302897335,161.00308300123467,0.0,0.07414586851635498,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,6,0.003845308524728454,73.39051013076767,130.76318274637924,0.0,0.04704466480830388,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,7,0.01136067491227503,-80.22753117052352,154.09746916718512,0.0,0.03150491360453871,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,8,0.006538839916999266,-64.7850865956397,168.6187884568211,0.0,0.04392396389851232,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,9,0.004196450138154867,12.898502279591368,163.04053914359827,0.0,0.047884745261591886,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,10,0.0002914433168717881,-5.759131934270042,180.76462800289852,0.0,0.04620831900333501,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,11,0.0035370093868549793,81.28883410261795,135.85004562588713,0.0,0.04768650827352482,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,12,0.006456762996515875,182.13185290945984,195.15386116895786,0.0,0.05949138778070029,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,13,0.006349992334649321,23.76285008872001,123.83090673169444,0.0,0.041594793702611356,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,14,4.309143782127087e-05,-18.494411240617566,87.66815177992903,0.0,0.04842136880512342,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,15,0.0009009823905697933,36.20895942709835,124.96508865054106,0.0,0.057461312018595084,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,16,0.003963771649650012,-20.53130185513674,116.51120160979963,0.0,0.04143006846325983,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,17,0.0008100740699177739,124.31464846047534,134.5940267503913,0.0,0.06448506751244149,0.0,0.0,0,1,0.5,2,1,3360,1.0,0
T1,classical_doe,18,0.0040442773092785045,112.29101421919445,161.06336132820067,0.0,0.06081766793850499,0.0,0.0,0,1,1.0,2,2,3360,1.0,0
T1,classical_doe,19,0.032474999215857246,54.33976655798474,149.65181836653792,0.0,0.019191572626027546,0.0,0.0,0,1,0.5,2,1,3360,1.0,0
T1,gp_ucb_rep1,0,0.01521026693644087,-112.16458679176056,412.7563822282612,0.0,0.06520860756037672,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,1,0.0020989574438779607,-47.717545978367966,315.608221503924,1.0,0.0,0.0010604383383796129,1.0,1,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,2,0.0034598984702211566,-48.048971489433654,275.86476634678735,0.0,0.07362047737239091,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,3,0.004921208127726628,-158.93878594369127,266.8159219330996,0.0,0.062236162905779116,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,4,0.004361844950851665,164.1294543429772,247.95516322636234,0.0,0.07773991088015257,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,5,0.00015804703067759385,-29.48742841190608,391.59515712546596,0.0,0.057262393912325384,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
